SystemID,StreetName,HouseNumber,UnitNumber,ServiceType,RFID,ContainerSize,ContainerType,TicketStatus,DateTime,UserName,Latitude,Longitude,BrokenComponent,Comments
533961,THATCHER,4720,,DEL,888888889371,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
533960,THATCHER,4716,,DEL,888888889372,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
533959,THATCHER,4712,,DEL,888888889373,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
533958,THATCHER,4708,,DEL,888888889374,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
533957,THATCHER,4704,,DEL,888888889375,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531334,SPIKEHORN,2344,,DEL,888888889376,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531333,SPIKEHORN,2343,,DEL,888888889377,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531332,SPIKEHORN,2340,,DEL,888888889378,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531331,SPIKEHORN,2339,,DEL,888888889379,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531330,SPIKEHORN,2336,,DEL,888888889380,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531329,SPIKEHORN,2335,,DEL,888888889381,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531328,SPIKEHORN,2332,,DEL,888888889382,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531327,SPIKEHORN,2331,,DEL,888888889383,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531326,SPIKEHORN,2328,,DEL,888888889384,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531325,SPIKEHORN,2327,,DEL,888888889385,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531324,SPIKEHORN,2324,,DEL,888888889386,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531323,SPIKEHORN,2323,,DEL,888888889387,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531322,SPIKEHORN,2320,,DEL,888888889388,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531321,SPIKEHORN,2319,,DEL,888888889389,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531320,SPIKEHORN,2316,,DEL,888888889390,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531319,SPIKEHORN,2315,,DEL,888888889391,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531318,SPIKEHORN,2312,,DEL,888888889392,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531317,SPIKEHORN,2311,,DEL,888888889393,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531316,SPIKEHORN,2308,,DEL,888888889394,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531315,SPIKEHORN,2307,,DEL,888888889395,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531314,SPIKEHORN,2304,,DEL,888888889396,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531313,SPIKEHORN,2303,,DEL,888888889397,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531214,SNOWBIRD,2659,,DEL,888888889398,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531213,SNOWBIRD,2655,,DEL,888888889399,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531212,SNOWBIRD,2652,,DEL,888888889400,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531211,SNOWBIRD,2651,,DEL,888888889401,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531210,SNOWBIRD,2648,,DEL,888888889402,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531209,SNOWBIRD,2647,,DEL,888888889403,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531208,SNOWBIRD,2644,,DEL,888888889404,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531207,SNOWBIRD,2643,,DEL,888888889405,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531206,SNOWBIRD,2640,,DEL,888888889406,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531205,SNOWBIRD,2639,,DEL,888888889407,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531204,SNOWBIRD,2635,,DEL,888888889408,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531203,SNOWBIRD,2631,,DEL,888888889409,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531202,SNOWBIRD,2628,,DEL,888888889410,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531201,SNOWBIRD,2627,,DEL,888888889411,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531200,SNOWBIRD,2623,,DEL,888888889412,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531199,SNOWBIRD,2620,,DEL,888888889413,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531198,SNOWBIRD,2619,,DEL,888888889414,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531197,SNOWBIRD,2616,,DEL,888888889415,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531196,SNOWBIRD,2615,,DEL,888888889416,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531195,SNOWBIRD,2612,,DEL,888888889417,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531194,SNOWBIRD,2611,,DEL,888888889418,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531193,SNOWBIRD,2608,,DEL,888888889419,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531192,SNOWBIRD,2607,,DEL,888888889420,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531191,SNOWBIRD,2604,,DEL,888888889421,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531190,SNOW CREEK,2231,,DEL,888888889422,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531189,SNOW CREEK,2228,,DEL,888888889423,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531188,SNOW CREEK,2227,,DEL,888888889424,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531187,SNOW CREEK,2224,,DEL,888888889425,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531186,SNOW CREEK,2223,,DEL,888888889426,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531185,SNOW CREEK,2220,,DEL,888888889427,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531184,SNOW CREEK,2219,,DEL,888888889428,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531183,SNOW CREEK,2216,,DEL,888888889429,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531182,SNOW CREEK,2215,,DEL,888888889430,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531181,SNOW CREEK,2212,,DEL,888888889431,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531180,SNOW CREEK,2211,,DEL,888888889432,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531179,SNOW CREEK,2208,,DEL,888888889433,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531178,SNOW CREEK,2207,,DEL,888888889434,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531177,SNOW CREEK,2204,,DEL,888888889435,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531176,SNOW CREEK,2203,,DEL,888888889436,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531175,SNOW CREEK,2135,,DEL,888888889437,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531174,SNOW CREEK,2132,,DEL,888888889438,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531173,SNOW CREEK,2131,,DEL,888888889439,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531172,SNOW CREEK,2128,,DEL,888888889440,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531171,SNOW CREEK,2127,,DEL,888888889441,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531170,SNOW CREEK,2123,,DEL,888888889442,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531169,SNOW CREEK,2119,,DEL,888888889443,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531168,SNOW CREEK,2115,,DEL,888888889444,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531167,SNOW CREEK,2111,,DEL,888888889445,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531166,SNOW CREEK,2108,,DEL,888888889446,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531165,SNOW CREEK,2107,,DEL,888888889447,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531164,SNOW CREEK,2103,,DEL,888888889448,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531163,SNOW CREEK,2019,,DEL,888888889449,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531162,SNOW CREEK,2015,,DEL,888888889450,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531161,SNOW CREEK,2012,,DEL,888888889451,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531160,SNOW CREEK,2011,,DEL,888888889452,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531159,SNOW CREEK,2008,,DEL,888888889453,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531158,SNOW CREEK,2007,,DEL,888888889454,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531157,SNOW CREEK,2004,,DEL,888888889455,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531156,SNOW CREEK,2003,,DEL,888888889456,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531155,SNAPJACK,4916,,DEL,888888889457,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531154,SNAPJACK,4912,,DEL,888888889458,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531153,SNAPJACK,4908,,DEL,888888889459,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531152,SNAPJACK,4904,,DEL,888888889460,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531151,SNAPJACK,4888,,DEL,888888889461,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
531150,SNAPJACK,4884,,DEL,888888889462,96,Recycle,COMPLETED,08/03/2014 08:24:50,100PERCENT,,,,
